country,points,price,province,region_1,taster_name,title,variety,winery
US,87,42,California,Sonoma County,NA,Pride Mountain 2008 Viognier (Sonoma County),Viognier,Pride Mountain
US,93,60,California,Sonoma Coast,Virginie Boone,Cherry Pie 2014 Rogers Creek Pinot Noir (Sonoma Coast),Pinot Noir,Cherry Pie
US,88,15,California,High Valley,Virginie Boone,Brassfield 2012 Serenity White (High Valley),White Blend,Brassfield
France,92,NA,Burgundy,Vosne-Romanée,Roger Voss,Albert Bichot 2007 Domaine du Clos Frantin Aux Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Albert Bichot
US,87,12,California,California,Jim Gordon,McManis 2015 Syrah (California),Syrah,McManis
France,86,20,Beaujolais,Brouilly,Roger Voss,Ferraud et Fils 2010 Domaine Rolland  (Brouilly),Gamay,Ferraud et Fils
US,93,55,California,Paso Robles,Matt Kettmann,Tablas Creek 2013 Esprit de Tablas Estate Grown & Bottled Mourvèdre-Syrah--Grenache-Counoise Red (Paso Robles),Rhône-style Red Blend,Tablas Creek
France,88,16,Loire Valley,Vouvray,Roger Voss,Château Moncontour 2006 Sec  (Vouvray),Chenin Blanc,Château Moncontour
Austria,92,19,Wagram,NA,Anne Krebiehl MW,Leth 2014 Felser Weinberge Riesling (Wagram),Riesling,Leth
Germany,89,17,Mosel,NA,Anna Lee C. Iijima,Dr. Leimbrock 2015 Estate Riesling (Mosel),Riesling,Dr. Leimbrock
US,87,25,Washington,Columbia Valley (WA),Paul Gregutt,Locati Cellars 2009 Barbera (Columbia Valley (WA)),Barbera,Locati Cellars
Austria,92,15,Carnuntum,NA,Anne Krebiehl MW,Markowitsch 2015 Blaufränkisch (Carnuntum),Blaufränkisch,Markowitsch
US,86,28,California,Sonoma Coast,Virginie Boone,Apriori 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Apriori
Spain,84,14,Catalonia,Cava,Michael Schachner,Conde de Subirats NV Brut Sparkling (Cava),Sparkling Blend,Conde de Subirats
France,90,55,Burgundy,Mercurey,Roger Voss,Château de Santenay 2014 Vieilles Vignes  (Mercurey),Pinot Noir,Château de Santenay
US,93,150,California,Ballard Canyon,Matt Kettmann,Turiya 2011 Stolpman Vineyard Sangiovese (Ballard Canyon),Sangiovese,Turiya
US,88,150,Oregon,Dundee Hills,Paul Gregutt,Archery Summit 2004 Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
France,87,22,Beaujolais,Brouilly,Roger Voss,Robert Perroud 2014 L'Enfer des Balloquets  (Brouilly),Gamay,Robert Perroud
US,92,45,Washington,Columbia Valley (WA),Sean P. Sullivan,Sleight of Hand 2012 Levitation Syrah (Columbia Valley (WA)),Syrah,Sleight of Hand
Portugal,86,17,Bairrada,NA,Roger Voss,Messias 2013 Quinta do Valdoeiro Bruto Sparkling (Bairrada),Portuguese Sparkling,Messias
Italy,92,50,Sicily & Sardinia,Moscato di Noto,NA,Feudo Maccari 2010 Sultana  (Moscato di Noto),Moscato,Feudo Maccari
US,90,32,California,Livermore Valley,Jim Gordon,Cuda Ridge Wines 2012 Cabernet Franc (Livermore Valley),Cabernet Franc,Cuda Ridge Wines
France,91,95,Rhône Valley,Condrieu,Joe Czerwinski,Ogier 2013 La Combe de Malleval  (Condrieu),Rhône-style White Blend,Ogier
US,89,30,California,Mendocino,Jim Gordon,Parducci 2015 True Grit Reserve Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Parducci
US,91,32,California,St. Helena,Virginie Boone,Benessere 2013 Estate St. Helena Vineyard Sangiovese (St. Helena),Sangiovese,Benessere
US,82,15,California,Monterey County,NA,Formation 2011 Chardonnay (Monterey County),Chardonnay,Formation
Italy,90,77,Lombardy,Franciacorta,NA,Bellavista NV Gran Cuvée Satèn Brut Chardonnay (Franciacorta),Chardonnay,Bellavista
US,92,38,California,Santa Cruz Mountains,Matt Kettmann,La Honda Winery 2013 Salinian Block Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,La Honda Winery
Austria,91,NA,Mittelburgenland,NA,Roger Voss,Kirnbauer 2009 Goldberg Reserve Blaufränkisch (Mittelburgenland),Blaufränkisch,Kirnbauer
France,86,15,Beaujolais,Beaujolais-Villages,Roger Voss,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages),Gamay,Les Vins Aujoux
US,88,17,California,Amador County,Jim Gordon,Terra d'Oro 2016 Rosé (Amador County),Rosé,Terra d'Oro
France,87,20,Bordeaux,Francs Côtes de Bordeaux,Roger Voss,Château Puygueraud 2014  Francs Côtes de Bordeaux,Bordeaux-style White Blend,Château Puygueraud
Canada,87,30,Ontario,Niagara Peninsula,Paul Gregutt,Cave Spring 2014 Indian Summer Riesling (Niagara Peninsula),Riesling,Cave Spring
Chile,83,10,Cachapoal Valley,NA,Michael Schachner,Kenos 2013 Tempranillo (Cachapoal Valley),Tempranillo,Kenos
US,92,32,California,Edna Valley,Matt Kettmann,Stephen Ross 2013 Pinot Noir (Edna Valley),Pinot Noir,Stephen Ross
New Zealand,91,39,Marlborough,NA,Joe Czerwinski,Greywacke 2010 Pinot Noir (Marlborough),Pinot Noir,Greywacke
US,88,50,California,Napa Valley,NA,Peju 2009 Cabernet Franc (Napa Valley),Cabernet Franc,Peju
France,87,18,Alsace,Alsace,Roger Voss,René Muré 2001 Riesling (Alsace),Riesling,René Muré
Austria,86,13,Niederösterreich,NA,Roger Voss,Dürnberg 2012 Falko Cool Climate Grüner Veltliner (Niederösterreich),Grüner Veltliner,Dürnberg
Portugal,89,22,Alentejano,NA,Roger Voss,Cortes de Cima 2015 White (Alentejano),Portuguese White,Cortes de Cima
Italy,87,15,Southern Italy,Salice Salentino,NA,Leone de Castris 2005 Riserva Red (Salice Salentino),Red Blend,Leone de Castris
Italy,91,125,Veneto,Amarone della Valpolicella Classico,Kerin O’Keefe,Zenato 2010 Sergio Zenato Riserva  (Amarone della Valpolicella Classico),Red Blend,Zenato
US,84,15,California,Arroyo Seco,NA,Jekel 2007 Merlot (Arroyo Seco),Merlot,Jekel
US,82,27,California,Edna Valley,NA,Center of Effort 2009 Effort Pinot Noir (Edna Valley),Pinot Noir,Center of Effort
Italy,92,60,Piedmont,Colli Tortonesi,Kerin O’Keefe,Vigne Marina Coppi 2013 Fausto Timorasso (Colli Tortonesi),Timorasso,Vigne Marina Coppi
US,88,30,California,Sonoma Valley,NA,Kenwood 1999 Jack London Vineyard Merlot (Sonoma Valley),Merlot,Kenwood
France,97,69,Loire Valley,Vouvray,Roger Voss,Domaine Huët 2009 Clos du Bourg Première Trie Moelleux  (Vouvray),Chenin Blanc,Domaine Huët
Austria,90,NA,Südsteiermark,NA,Anne Krebiehl MW,Gross 2013 Jakobi Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Gross
US,88,20,California,Russian River Valley,NA,Balletto 2012 Teresa's Unoaked Estate Chardonnay (Russian River Valley),Chardonnay,Balletto
US,89,28,Oregon,Columbia Valley (OR),Paul Gregutt,Pheasant Valley Winery 2008 Primitivo (Columbia Valley (OR)),Primitivo,Pheasant Valley Winery
Austria,89,13,Niederösterreich,NA,Anne Krebiehl MW,The Dot 2015 Austrian Apple Grüner Veltliner (Niederösterreich),Grüner Veltliner,The Dot
US,83,10,Missouri,Missouri,NA,Les Bourgeois NV Fleur du Vin Fruity Semi Dry Red (Missouri),Red Blend,Les Bourgeois
Italy,95,40,Sicily & Sardinia,Etna,Kerin O’Keefe,Biondi 2014 Outis Rosso  (Etna),Red Blend,Biondi
US,90,25,Oregon,Dundee Hills,Paul Gregutt,Stoller 2016 Chardonnay (Dundee Hills),Chardonnay,Stoller
Argentina,86,20,Mendoza Province,Mendoza,Michael Schachner,Los Haroldos 2011 Reserva de Familia Malbec (Mendoza),Malbec,Los Haroldos
Bulgaria,90,15,Thracian Valley,NA,Jeff Jenssen,Bessa 2009 Enira Red (Thracian Valley),Red Blend,Bessa
Austria,90,28,Wachau,NA,Roger Voss,Rainer Wess 2007 Terrassen Riesling (Wachau),Riesling,Rainer Wess
US,92,48,Oregon,Willamette Valley,Paul Gregutt,Patton Valley 2010 West Block Pinot Noir (Willamette Valley),Pinot Noir,Patton Valley
Germany,90,13,Rheinhessen,NA,Anna Lee C. Iijima,Schäfer 2014 Dry Style Riesling (Rheinhessen),Riesling,Schäfer
Italy,88,16,Sicily & Sardinia,Sicilia,NA,Feudo Arancio 2010 Dalila White (Sicilia),White Blend,Feudo Arancio
US,86,15,California,Anderson Valley,NA,Handley 2000 Ferrington Vineyard Sauvignon Blanc (Anderson Valley),Sauvignon Blanc,Handley
US,85,13,California,Dry Creek Valley,NA,Pedroncelli 2011 Vintage Selection Chardonnay (Dry Creek Valley),Chardonnay,Pedroncelli
Portugal,86,21,Alentejano,NA,Roger Voss,J. Portugal Ramos 2012 F'oz Red (Alentejano),Portuguese Red,J. Portugal Ramos
Chile,90,18,Maule Valley,NA,Michael Schachner,Altamana 2014 Grande Reserve Malbec (Maule Valley),Malbec,Altamana
US,89,40,Oregon,Willamette Valley,Paul Gregutt,King Estate 1999 Pfeiffer Vineyards Pinot Noir (Willamette Valley),Pinot Noir,King Estate
Germany,88,14,Mosel,NA,Anna Lee C. Iijima,S.A. Prüm 2014 Essence Riesling (Mosel),Riesling,S.A. Prüm
France,95,295,Burgundy,Clos de la Roche,Roger Voss,Albert Bichot 2014  Clos de la Roche,Pinot Noir,Albert Bichot
US,82,35,Washington,Columbia Valley (WA),Sean P. Sullivan,Mellisoni 2016 180 Degrees Rosé (Columbia Valley (WA)),Rosé,Mellisoni
US,90,85,California,Green Valley,Virginie Boone,Iron Horse 2014 Winery Block Pinot Noir (Green Valley),Pinot Noir,Iron Horse
Portugal,93,47,Port,NA,Roger Voss,Burmester 1989 Colheita Tawny  (Port),Port,Burmester
US,88,30,California,San Benito County,Matt Kettmann,Bella Luna 2016 Bella Bianca Vista Verde Vineyard White (San Benito County),White Blend,Bella Luna
France,90,25,Southwest France,Fronton,Roger Voss,Château Flotis 2010 Si Noire Negrette (Fronton),Negrette,Château Flotis
US,91,30,New York,Finger Lakes,Anna Lee C. Iijima,McGregor 2012 Reserve Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,McGregor
US,86,19,California,Sonoma County,NA,Dry Creek Vineyard 2008 Heritage Zinfandel (Sonoma County),Zinfandel,Dry Creek Vineyard
South Africa,89,42,Stellenbosch,NA,Lauren Buzzeo,Rust en Vrede 2007 Estate Red (Stellenbosch),Red Blend,Rust en Vrede
US,83,38,California,Carneros,NA,R2 2010 Big Bend Reserve Pinot Noir (Carneros),Pinot Noir,R2
Germany,91,55,Mosel,NA,Anna Lee C. Iijima,St. Urbans-Hof 2012 Leiwener Laurentiuslay Erste Lage Spätlese Riesling (Mosel),Riesling,St. Urbans-Hof
US,81,15,California,Central Coast,NA,Clos La Chance 2009 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Clos La Chance
France,87,17,Languedoc-Roussillon,Pays d'Oc,Lauren Buzzeo,Gérard Bertrand 2016 Gris Blanc Rosé (Pays d'Oc),Rosé,Gérard Bertrand
Italy,89,NA,Tuscany,Vino Nobile di Montepulciano,NA,Tenuta di Poggio Uliveto 2008  Vino Nobile di Montepulciano,Prugnolo Gentile,Tenuta di Poggio Uliveto
Portugal,89,15,Tejo,NA,Roger Voss,Terra Silvestre 2012 Arinto (Tejo),Arinto,Terra Silvestre
Austria,84,10,Neusiedlersee,NA,Anne Krebiehl MW,Sepp Moser 2011 Hedwighof Zweigelt (Neusiedlersee),Zweigelt,Sepp Moser
France,87,NA,Champagne,Champagne,Roger Voss,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart
Italy,90,50,Piedmont,Barbaresco,Kerin O’Keefe,Boffa 2012 Pajè  (Barbaresco),Nebbiolo,Boffa
New Zealand,85,11,Marlborough,NA,Joe Czerwinski,Overstone 2011 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Overstone
France,88,NA,Burgundy,Beaune,Roger Voss,Roux Père et Fils 2010 Montée Rouge  (Beaune),Pinot Noir,Roux Père et Fils
France,87,56,France Other,Côtes du Jura,Roger Voss,Frédéric Lornet 2006 Vin de Paille White (Côtes du Jura),White Blend,Frédéric Lornet
France,88,20,Beaujolais,Régnié,Roger Voss,Domaine Dupré 2014 Haute Ronze Vieilles Vignes  (Régnié),Gamay,Domaine Dupré
France,85,20,Loire Valley,Reuilly,Roger Voss,Joseph Mellot 2014 Les Milets Sauvignon Blanc (Reuilly),Sauvignon Blanc,Joseph Mellot
Australia,92,42,Victoria,Yarra Valley,Joe Czerwinski,Giant Steps 2014 Sexton Vineyard Pinot Noir (Yarra Valley),Pinot Noir,Giant Steps
Spain,85,14,Northern Spain,Rioja,Michael Schachner,Viña Cerrada 2009 Crianza  (Rioja),Tempranillo,Viña Cerrada
Spain,83,15,Catalonia,Cava,Michael Schachner,Clos La Soleya NV Brut Sparkling (Cava),Sparkling Blend,Clos La Soleya
France,92,65,Bordeaux,Lalande de Pomerol,Roger Voss,Château des Annereaux 2010  Lalande de Pomerol,Bordeaux-style Red Blend,Château des Annereaux
France,92,NA,Champagne,Champagne,Roger Voss,Moët & Chandon 2003 Grand Vintage Rosé Brut  (Champagne),Champagne Blend,Moët & Chandon
US,91,24,California,Amador County,Jim Gordon,Fiddletown Cellars 2013 Barbera (Amador County),Barbera,Fiddletown Cellars
US,90,65,California,Sonoma County,Virginie Boone,Buena Vista 2012 Private Reserve Pinot Noir (Sonoma County),Pinot Noir,Buena Vista
Italy,87,21,Southern Italy,Salento,NA,Pirro Varone 2008 Le Vigne Rare Red (Salento),Red Blend,Pirro Varone
US,89,30,Washington,Yakima Valley,Paul Gregutt,J Bell Cellars 2010 Cabernet Sauvignon (Yakima Valley),Cabernet Sauvignon,J Bell Cellars
France,88,30,Alsace,Alsace,Anne Krebiehl MW,Joseph Cattin 2014 Hatschbourg Grand Cru Muscat (Alsace),Muscat,Joseph Cattin
US,93,40,California,Sonoma County,Virginie Boone,Walt 2013 La Brisa Pinot Noir (Sonoma County),Pinot Noir,Walt
Spain,92,59,Northern Spain,Ribera del Duero,Michael Schachner,Lleiroso 2011 Reserva  (Ribera del Duero),Tempranillo,Lleiroso
Germany,90,22,Nahe,NA,Anna Lee C. Iijima,Bürgermeister Willi Schweinhardt 2014 Löhrer Berg Dry Weissburgunder (Nahe),Weissburgunder,Bürgermeister Willi Schweinhardt
US,88,22,California,Dry Creek Valley,NA,Hobo 2011 Zinfandel (Dry Creek Valley),Zinfandel,Hobo
US,88,11,Washington,Columbia Valley (WA),Sean P. Sullivan,Anew 2015 Rosé (Columbia Valley (WA)),Rosé,Anew
Slovenia,89,NA,Vipavska Dolina,NA,Anna Lee C. Iijima,Sutor 2008 Pinot Noir (Vipavska Dolina),Pinot Noir,Sutor
Italy,91,35,Sicily & Sardinia,Sicilia,NA,Cusumano 2008 Sàgana Nero d'Avola (Sicilia),Nero d'Avola,Cusumano
Austria,92,22,Kremstal,NA,Anne Krebiehl MW,Buchegger 2015 Tiefenthal Reserve Riesling (Kremstal),Riesling,Buchegger
US,90,25,California,Sonoma Coast,NA,MacRostie 2009 Chardonnay (Sonoma Coast),Chardonnay,MacRostie
France,88,20,Bordeaux,Bordeaux,Roger Voss,Château la Croix Blanche 2015  Bordeaux,Bordeaux-style Red Blend,Château la Croix Blanche
France,90,120,Champagne,Champagne,NA,Perrier Jouët 1995 Fleur de Champagne Brut  (Champagne),Champagne Blend,Perrier Jouët
Spain,89,18,Galicia,Rías Baixas,Michael Schachner,Fulget 2007 Albariño (Rías Baixas),Albariño,Fulget
France,93,60,Loire Valley,Sancerre,Roger Voss,Henri Bourgeois 2013 Sancerre d'Antan Terroir de Silex  (Sancerre),Sauvignon Blanc,Henri Bourgeois
US,92,38,California,Napa Valley,Virginie Boone,Venge 2012 Scout's Honor Red (Napa Valley),Red Blend,Venge
US,92,30,California,Sierra Foothills,Virginie Boone,Terre Rouge 2008 Monarch Mine Vineyard Syrah (Sierra Foothills),Syrah,Terre Rouge
US,87,60,California,Paso Robles,NA,Star Angel by Montes 2007 Aurelio's Selection Red (Paso Robles),Red Blend,Star Angel by Montes
France,89,120,Burgundy,Nuits-St.-Georges,Roger Voss,Moillard 2009 Les Saint-Georges Premier Cru  (Nuits-St.-Georges),Pinot Noir,Moillard
Portugal,92,NA,Port,NA,Roger Voss,Niepoort 2015 Vintage  (Port),Port,Niepoort
Chile,91,100,Aconcagua Valley,NA,Michael Schachner,Von Siebenthal 2008 Toknar Petit Verdot (Aconcagua Valley),Petit Verdot,Von Siebenthal
France,87,20,Bordeaux,Bordeaux Supérieur,Roger Voss,Château de Garros 2015 L'Excellium de Château de Garros  (Bordeaux Supérieur),Bordeaux-style Red Blend,Château de Garros
Italy,90,18,Sicily & Sardinia,Vittoria,Kerin O’Keefe,Judeka 2014 Nero d'Avola (Vittoria),Nero d'Avola,Judeka
US,90,27,Oregon,Chehalem Mountains,Paul Gregutt,Carabella 2009 Dijon 76 Estate Chardonnay (Chehalem Mountains),Chardonnay,Carabella
US,86,10,Washington,Columbia Valley (WA),Sean P. Sullivan,Chateau Ste. Michelle 2015 Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,Chateau Ste. Michelle
Portugal,91,25,Dão,NA,Roger Voss,Quinta das Marias 2013 Cuvée TT Red (Dão),Portuguese Red,Quinta das Marias
US,88,48,California,Santa Maria Valley,Matt Kettmann,Nagy 2012 Pinot Noir (Santa Maria Valley),Pinot Noir,Nagy
Australia,88,70,South Australia,Barossa,Joe Czerwinski,Yalumba 2006 Hand Picked Single Site Tri-Centenary Vineyard Vine Vale Grenache (Barossa),Grenache,Yalumba
Italy,90,NA,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Talenti
Italy,88,50,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Mocali 2012  Brunello di Montalcino,Sangiovese,Mocali
France,86,20,Bordeaux,Médoc,Roger Voss,Monfort-Bellevue 2011  Médoc,Bordeaux-style Red Blend,Monfort-Bellevue
US,92,69,California,Paso Robles,NA,Écluse 2009 Reserve Lock Vineyard Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Écluse
Italy,87,70,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Donatella Cinelli Colombini 2010  Brunello di Montalcino,Sangiovese,Donatella Cinelli Colombini
US,92,32,California,Yorkville Highlands,Jim Gordon,Halcon 2013 Alturas Syrah (Yorkville Highlands),Syrah,Halcon
Italy,90,NA,Tuscany,Chianti Classico,NA,Agricoltori del Chianti Geografico 2005 Riserva Montegiachi  (Chianti Classico),Sangiovese,Agricoltori del Chianti Geografico
France,87,15,Languedoc-Roussillon,Fitou,Lauren Buzzeo,Mourrel Azurat 2009 Red (Fitou),Rhône-style Red Blend,Mourrel Azurat
France,93,34,Provence,Côtes de Provence,Roger Voss,Château Grand Boise 2016 Jadis Rosé (Côtes de Provence),Rosé,Château Grand Boise
France,87,42,France Other,Arbois,Roger Voss,Andre et Mireille Tissot 2011 La Mailloche Chardonnay (Arbois),Chardonnay,Andre et Mireille Tissot
US,87,19,New York,North Fork of Long Island,NA,Palmer 2005 Merlot (North Fork of Long Island),Merlot,Palmer
US,86,24,California,Chalone,NA,Chalone Vineyard 2012 Gavilan Pinot Noir (Chalone),Pinot Noir,Chalone Vineyard
US,87,15,New York,Finger Lakes,Anna Lee C. Iijima,Dr. Konstantin Frank 2008 Dry Riesling (Finger Lakes),Riesling,Dr. Konstantin Frank
Italy,91,70,Tuscany,Brunello di Montalcino,NA,Tenute Niccolai 2006 Podere Bellarina  (Brunello di Montalcino),Sangiovese Grosso,Tenute Niccolai
US,93,40,California,Santa Maria Valley,Matt Kettmann,Orfila 2013 Stem Head Pinot Noir (Santa Maria Valley),Pinot Noir,Orfila
US,92,22,California,Sonoma County,Virginie Boone,Gloria Ferrer NV Sonoma Brut Sparkling (Sonoma County),Sparkling Blend,Gloria Ferrer
US,88,39,California,Anderson Valley,Virginie Boone,Harmonique 2008 Un-Oaked Chardonnay (Anderson Valley),Chardonnay,Harmonique
Chile,85,12,Cachapoal Valley,NA,Michael Schachner,San Pedro 2006 Castillo de Molina Reserva Cabernet Sauvignon (Cachapoal Valley),Cabernet Sauvignon,San Pedro
US,94,55,California,Sonoma Coast,NA,Joseph Phelps 2010 Freestone Vineyards Chardonnay (Sonoma Coast),Chardonnay,Joseph Phelps
Spain,88,12,Northern Spain,Somontano,Michael Schachner,Bodega Otto Bestué 2012 Finca Rableros Tempranillo-Cabernet Sauvignon (Somontano),Tempranillo-Cabernet Sauvignon,Bodega Otto Bestué
US,88,15,New York,Finger Lakes,Susan Kostrzewa,Dr. Konstantin Frank 2005 Barrel Fermented Chardonnay (Finger Lakes),Chardonnay,Dr. Konstantin Frank
US,86,30,California,Happy Canyon of Santa Barbara,Matt Kettmann,Westerly 2013 Fletcher's White (Happy Canyon of Santa Barbara),Bordeaux-style White Blend,Westerly
US,92,45,New York,Seneca Lake,Anna Lee C. Iijima,Hermann J. Wiemer 2012 Josef Vineyard Late Harvest Estate Bottled and Grown Riesling (Seneca Lake),Riesling,Hermann J. Wiemer
US,93,44,California,Arroyo Grande Valley,Matt Kettmann,Talley 2014 Rincon Vineyard Chardonnay (Arroyo Grande Valley),Chardonnay,Talley
France,90,25,Southwest France,Cahors,Roger Voss,Château Saint-Didier-Parnac 2014 Prieuré de Cénac Malbec (Cahors),Malbec,Château Saint-Didier-Parnac
US,86,50,California,Paso Robles,NA,Loring Wine Company 2012 Russell Family Vineyard Pinot Noir (Paso Robles),Pinot Noir,Loring Wine Company
Argentina,88,19,Mendoza Province,Mendoza,Michael Schachner,Felipe Rutini 2006 Chardonnay (Mendoza),Chardonnay,Felipe Rutini
US,91,44,California,Monterey County,Matt Kettmann,Big Basin 2012 Coastview Vineyard Pinot Noir (Monterey County),Pinot Noir,Big Basin
US,83,24,Virginia,Middleburg,Alexander Peartree,Casanel 2014 Patricia Marie Pinot Gris (Middleburg),Pinot Gris,Casanel
US,87,32,Oregon,Willamette Valley,Paul Gregutt,Apolloni 2014 Estate Pinot Noir (Willamette Valley),Pinot Noir,Apolloni
France,88,23,Loire Valley,Sancerre,Roger Voss,Henri Bourgeois 2014 Les Baronnes  (Sancerre),Sauvignon Blanc,Henri Bourgeois
Spain,80,9,Central Spain,Vino de la Tierra de Castilla,Michael Schachner,Love 2015 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Love
US,86,25,Virginia,Virginia,NA,Fox Meadow 2010 Syrah (Virginia),Syrah,Fox Meadow
Argentina,88,30,Mendoza Province,Mendoza,Michael Schachner,ZaHa 2014 Toko Vineyard Malbec (Mendoza),Malbec,ZaHa
Argentina,93,35,Mendoza Province,La Consulta,Michael Schachner,Altocedro 2012 Finca Los Turcos Malbec (La Consulta),Malbec,Altocedro
US,89,25,New York,Seneca Lake,Anna Lee C. Iijima,Bellangelo 2012 Red (Seneca Lake),Bordeaux-style Red Blend,Bellangelo
US,84,45,California,Dry Creek Valley,NA,St. Francis 2010 Amann Vineyard Old Vines Zinfandel (Dry Creek Valley),Zinfandel,St. Francis
France,86,15,Burgundy,Mâcon-Villages,Roger Voss,Cave d'Azé 2015  Mâcon-Villages,Chardonnay,Cave d'Azé
Italy,89,27,Veneto,Soave Classico,NA,Gini 2008 La Froscà  (Soave Classico),Garganega,Gini
Germany,91,25,Baden,NA,Anna Lee C. Iijima,Franz Keller 2015 Schwarzer Adler Rosé (Baden),Rosé,Franz Keller
US,87,60,Oregon,Dundee Hills,Paul Gregutt,Vista Hills 2011 Skyraider Reserve Pinot Noir (Dundee Hills),Pinot Noir,Vista Hills
Italy,88,18,Tuscany,Toscana,Kerin O’Keefe,I Giusti e Zanza 2012 Nemorino Rosato Syrah (Toscana),Syrah,I Giusti e Zanza
Italy,93,70,Tuscany,Brunello di Montalcino,NA,Fanti 2007  Brunello di Montalcino,Sangiovese Grosso,Fanti
Greece,88,21,Crete,NA,Susan Kostrzewa,Rhous 2015 White (Crete),White Blend,Rhous
France,89,45,Burgundy,Auxey-Duresses,Roger Voss,Domaine Jessiaume 2015 Les Ecussaux Premier Cru  (Auxey-Duresses),Chardonnay,Domaine Jessiaume
US,90,65,California,Napa Valley,Virginie Boone,Merryvale 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Merryvale
US,87,50,California,Anderson Valley,Jim Gordon,Lichen Estate 2013 Blanc de Noir Pinot Noir (Anderson Valley),Pinot Noir,Lichen Estate
US,93,55,California,Ben Lomond Mountain,Matt Kettmann,Beauregard 2014 Beauregard Ranch Chardonnay (Ben Lomond Mountain),Chardonnay,Beauregard
US,86,13,California,North Coast,NA,Fleur 2010 Chardonnay (North Coast),Chardonnay,Fleur
Chile,90,19,Colchagua Valley,NA,Michael Schachner,Estampa 2010 Reserve Assemblage Cabernet Sauvignon-Carménère-Petit Verdot Red (Colchagua Valley),Red Blend,Estampa
US,92,80,California,Napa Valley,Virginie Boone,Guarachi Family 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Guarachi Family
US,85,19,California,Napa Valley,NA,Voss 2013 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Voss
Italy,93,35,Northeastern Italy,Alto Adige,Kerin O’Keefe,Terlan 2015 Winkl Sauvignon (Alto Adige),Sauvignon,Terlan
Austria,94,36,Wachau,NA,Anne Krebiehl MW,Emmerich Knoll 2014 Ried Pfaffenberg Kabinett Riesling (Wachau),Riesling,Emmerich Knoll
US,85,22,Oregon,Willamette Valley,Paul Gregutt,LaVelle 2011 Pinot Gris (Willamette Valley),Pinot Gris,LaVelle
US,91,30,Washington,Columbia Valley (WA),Paul Gregutt,Matthews 2004 Claret Red (Columbia Valley (WA)),Red Blend,Matthews
US,86,50,California,Napa Valley,Virginie Boone,Hestan 2011 Stephanie Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Hestan
Italy,86,13,Piedmont,Moscato d'Asti,NA,Neirano 2008 Pitulé  (Moscato d'Asti),Moscato,Neirano
US,91,24,California,Lodi,Virginie Boone,Fields Family 2010 Sherman Family Vineyards Zinfandel (Lodi),Zinfandel,Fields Family
Argentina,89,210,Mendoza Province,Perdriel,Michael Schachner,Viña Cobos 2013 Malbec (Perdriel),Malbec,Viña Cobos
US,87,37,Washington,Columbia Valley (WA),Sean P. Sullivan,Browne Family Vineyards 2011 Merlot (Columbia Valley (WA)),Merlot,Browne Family Vineyards
Spain,86,15,Catalonia,Penedès,Michael Schachner,Terraprima 2010 Massís del Garraf White (Penedès),White Blend,Terraprima
Argentina,88,18,Mendoza Province,Mendoza,Michael Schachner,Andes Grapes 2006 Ambar 1907 Malbec (Mendoza),Malbec,Andes Grapes
US,92,24,California,El Dorado,Jim Gordon,Uvaggio 2015 Radix Vinea Zinfandel (El Dorado),Zinfandel,Uvaggio
France,94,86,Champagne,Champagne,Roger Voss,Louis Roederer 2009 Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Louis Roederer
US,90,24,California,Santa Ynez Valley,Matt Kettmann,Refugio Ranch 2011 Ineseño White (Santa Ynez Valley),Rhône-style White Blend,Refugio Ranch
Austria,87,NA,Niederösterreich,NA,Anne Krebiehl MW,Nastl 2013 Klassic Cuvée Red (Niederösterreich),Red Blend,Nastl
Italy,89,48,Northeastern Italy,Vigneti delle Dolomiti,Kerin O’Keefe,Foradori 2013 Fontanasanta Nosiola (Vigneti delle Dolomiti),Nosiola,Foradori
US,87,15,New York,Finger Lakes,Anna Lee C. Iijima,Dr. Konstantin Frank 2014 Grüner Veltliner (Finger Lakes),Grüner Veltliner,Dr. Konstantin Frank
